customer_id,gender,age_group,region_id,registration_date
C00001,Male,Young Adult,E,2024-05-13
C00002,Female,Young Adult,N,2023-07-02
C00003,Male,Elder,W,2024-11-26
C00004,Male,Young Adult,E,2024-10-04
C00005,Male,Young Adult,N,2024-11-03
C00006,Female,Adult,W,2023-09-27
C00007,Male,Young Adult,E,2023-08-18
C00008,Male,Adult,N,2023-09-06
C00009,Male,Teenager,E,2024-11-11
C00010,Female,Adult,N,2023-04-10
C00011,Male,Teenager,W,2024-08-12
C00012,Male,Teenager,W,2024-07-18
C00013,Male,Elder,W,2024-03-09
C00014,Male,Young Adult,E,2023-01-30
C00015,Female,Adult,S,2022-09-03
C00016,Male,Young Adult,W,2023-07-22
C00017,Female,Young Adult,N,2022-02-07
C00018,Female,Elder,E,2022-09-02
C00019,Female,Teenager,E,2022-01-21
C00020,Male,Adult,N,2023-01-29
C00021,Female,Elder,S,2024-09-13
C00022,Male,Adult,W,2022-01-08
C00023,Female,Elder,W,2022-11-24
C00024,Female,Teenager,N,2022-10-17
C00025,Female,Young Adult,N,2023-05-26
C00026,Female,Young Adult,N,2024-06-30
C00027,Female,Adult,W,2022-12-27
C00028,Female,Elder,N,2023-12-17
C00029,Female,Young Adult,E,2022-08-07
C00030,Female,Adult,N,2023-02-10
C00031,Male,Young Adult,E,2024-01-23
C00032,Male,Adult,S,2024-07-11
C00033,Female,Adult,W,2024-04-11
C00034,Female,Elder,N,2024-03-04
C00035,Female,Adult,E,2023-08-18
C00036,Male,Young Adult,N,2022-04-17
C00037,Female,Teenager,E,2023-08-04
C00038,Male,Young Adult,W,2023-09-01
C00039,Male,Young Adult,N,2022-01-08
C00040,Male,Young Adult,W,2024-03-16
C00041,Male,Elder,E,2022-07-08
C00042,Male,Adult,N,2022-03-22
C00043,Female,Adult,S,2022-04-18
C00044,Female,Teenager,N,2023-11-17
C00045,Female,Elder,E,2022-12-12
C00046,Female,Adult,W,2022-11-24
C00047,Female,Teenager,N,2023-07-09
C00048,Male,Adult,E,2022-10-29
C00049,Female,Adult,W,2022-07-19
C00050,Female,Teenager,W,2024-06-11
C00051,Male,Adult,E,2024-11-28
C00052,Female,Adult,W,2022-11-03
C00053,Male,Young Adult,E,2024-10-24
C00054,Female,Elder,S,2023-04-13
C00055,Male,Adult,W,2022-06-28
C00056,Female,Adult,E,2023-10-07
C00057,Female,Adult,S,2022-10-03
C00058,Male,Young Adult,E,2023-09-13
C00059,Male,Adult,W,2023-09-30
C00060,Male,Adult,W,2024-07-18
C00061,Male,Teenager,S,2022-07-02
C00062,Male,Adult,S,2022-03-13
C00063,Male,Adult,E,2023-12-20
C00064,Male,Adult,E,2023-12-27
C00065,Male,Teenager,N,2022-09-26
C00066,Female,Adult,W,2024-11-09
C00067,Female,Young Adult,E,2023-08-01
C00068,Male,Young Adult,S,2024-09-21
C00069,Female,Young Adult,N,2024-03-25
C00070,Female,Young Adult,N,2022-05-27
C00071,Female,Adult,W,2024-06-08
C00072,Female,Adult,S,2022-11-06
C00073,Male,Young Adult,N,2023-06-02
C00074,Female,Elder,S,2022-01-14
C00075,Male,Elder,S,2022-05-12
C00076,Female,Elder,N,2024-01-25
C00077,Female,Young Adult,S,2023-03-15
C00078,Female,Adult,E,2024-01-13
C00079,Male,Elder,E,2024-01-10
C00080,Female,Adult,S,2024-03-05
C00081,Male,Teenager,S,2022-09-20
C00082,Female,Teenager,W,2023-10-05
C00083,Male,Adult,S,2022-09-15
C00084,Female,Elder,N,2023-02-13
C00085,Male,Adult,N,2024-09-01
C00086,Male,Adult,S,2024-11-13
C00087,Female,Teenager,W,2022-09-28
C00088,Male,Adult,N,2022-05-22
C00089,Female,Adult,E,2024-06-20
C00090,Female,Young Adult,N,2024-08-31
C00091,Female,Adult,S,2022-10-01
C00092,Female,Elder,W,2022-10-03
C00093,Female,Young Adult,S,2023-04-10
C00094,Female,Adult,E,2024-11-28
C00095,Female,Young Adult,N,2022-10-15
C00096,Female,Adult,E,2024-05-25
C00097,Female,Adult,N,2024-05-27
C00098,Female,Adult,W,2022-06-29
C00099,Female,Adult,N,2025-01-02
