transaction_id,transaction_datetime,customer_id,store_id,product_id,promotion_id,quantity,selling_price,discount_amount,total_revenue,total_cost,profit
T000001,2025-09-16 10:13:57,C02322,S003,P003,,4,8.4,0.0,33.6,20.0,13.6
T000002,2025-11-10 22:04:25,C00877,S001,P007,,2,2.94,0.0,5.54,2.4,3.14
T000003,2024-10-07 11:12:23,C02701,S007,P006,,5,2.0,0.0,10.0,5.0,5.0
T000004,2025-07-19 20:42:29,C03508,S003,P005,,7,3.36,0.0,25.4,10.5,14.9
T000005,2024-01-08 05:16:01,C02430,S002,P002,,4,1.8,0.0,7.2,4.4,2.8
T000006,2024-05-24 19:27:41,C01563,S002,P002,,8,1.8,0.0,14.4,8.8,5.6
T000007,2025-09-04 05:22:55,C00856,S006,P002,,5,1.89,0.0,9.45,5.5,3.95
T000008,2024-10-11 21:55:50,C01207,S002,P006,,8,2.0,0.0,16.0,8.0,8.0
T000009,2024-07-06 21:26:56,C02475,S007,P021,,4,59.0,0.0,254.88,100.0,154.88
T000010,2024-12-05 18:01:20,C01078,S004,P008,,7,7.0,0.0,56.35,28.0,28.35
T000011,2024-10-25 04:53:42,C00984,S008,P009,,1,899.0,0.0,899.0,550.0,349.0
T000012,2024-06-28 03:24:08,C03431,S008,P005,,8,3.2,0.0,25.6,12.0,13.6
T000013,2024-11-25 19:13:40,C02189,S003,P008,,8,7.0,0.0,64.4,32.0,32.4
T000014,2025-01-13 13:33:14,C00905,S002,P002,,5,1.89,0.0,9.45,5.5,3.95
T000015,2024-12-25 14:17:36,C01954,S002,P014,,1,129.0,0.0,148.35,70.0,78.35
T000016,2024-11-24 07:03:48,C01982,S001,P016,,1,149.0,0.0,171.35,60.0,111.35
T000017,2024-10-21 13:48:42,C03023,S004,P011,,1,499.0,0.0,499.0,250.0,249.0
T000018,2024-09-07 08:23:12,C03553,S003,P002,,5,1.8,0.0,9.0,5.5,3.5
T000019,2024-02-09 23:21:45,C03587,S002,P010,,1,24.0,0.0,24.0,10.0,14.0
T000020,2025-03-31 03:51:58,C00698,S006,P022,,4,18.9,0.0,75.6,24.0,51.6
T000021,2024-05-20 20:49:47,C01866,S007,P023,,2,35.0,0.0,70.0,24.0,46.0
T000022,2024-01-29 11:08:08,C02796,S005,P004,,6,2.2,0.0,13.2,7.2,6.0
T000023,2024-07-10 21:51:15,C03617,S003,P018,,1,499.0,0.0,538.92,220.0,318.92
T000024,2025-04-08 00:15:52,C01178,S007,P023,PR03,4,32.34,4.41,129.36,48.0,81.36
T000025,2025-08-28 00:41:37,C01395,S002,P002,,6,1.89,0.0,10.04,6.6,3.44
T000026,2024-01-14 07:15:02,C01469,S003,P004,,1,2.2,0.0,2.2,1.2,1.0
T000027,2024-03-14 20:24:15,C00473,S003,P014,,1,129.0,0.0,129.0,70.0,59.0
T000028,2024-07-12 18:48:46,C00744,S007,P017,,1,229.0,0.0,247.32,90.0,157.32
T000029,2025-02-21 01:08:43,C02685,S006,P007,,2,2.94,0.0,5.88,2.4,3.48
T000030,2025-08-17 11:14:20,C01887,S001,P020,,4,5.25,0.0,18.6,8.0,10.6
T000031,2025-08-07 11:50:09,C01693,S002,P001,,7,12.6,0.0,78.11,56.0,22.11
T000032,2025-09-13 20:35:07,C00430,S003,P003,,3,8.4,0.0,25.2,15.0,10.2
T000033,2024-06-11 01:12:19,C03873,S001,P002,,2,1.8,0.0,3.6,2.2,1.4
